dataset,config,runs,mean_mse,std_mse,mean_mae,mean_mse_in_range,description
ABILENE,best_single_val,5,1.8579053778146892,0.005749347780094621,16.283361556951416,1.3356498442590237,Chọn một nhánh tốt nhất theo MSE Validation
ABILENE,context_gate,5,1.8601456089880908,0.012666096771503875,16.454525945107918,1.20576499029994,Cổng MLP ngữ cảnh (v2) thay cho stacking
ABILENE,full,5,1.84626056911088,0.006955146196514466,16.284949226428584,1.3181895716115832,Đầy đủ: 3 nhánh + stacking bền vững theo luồng (cấu hình chọn bằng CV)
ABILENE,global_only,5,1.84626056911088,0.006955146196514466,16.284949226428584,1.3181895716115832,Chỉ trọng số chung toàn mạng
ABILENE,no_lightgbm_res,5,2.644744431958617,0.00681900911087874,17.350253512461816,1.1184619972482324,Bỏ nhánh LightGBM-Residual
ABILENE,no_stwaveformer,5,1.8447780537431657,0.006923762228667446,16.28855873985068,1.3152431696653366,Bỏ nhánh học sâu (chỉ 2 nhánh học máy)
ABILENE,no_xgboost,5,1.8569200792377702,0.005771714589810037,16.279349294527144,1.3348134467378259,Bỏ nhánh xgboost (champion)
ABILENE,perflow_only,5,1.8462362714336469,0.006967342496522897,16.284882270855178,1.3181723654270172,Luôn dùng trọng số theo luồng
ABILENE,static_average,5,1.864544118345822,0.008749365382702047,16.475109652992725,1.1941049015149474,Trung bình tĩnh 1/K
GEANT,best_single_val,5,0.9142757036319301,0.003185052634400332,5.85759029773599,0.4545478615909815,Chọn một nhánh tốt nhất theo MSE Validation
GEANT,context_gate,5,0.8510287756237741,0.006182909174628911,5.510256756280518,0.4450094071216881,Cổng MLP ngữ cảnh (v2) thay cho stacking
GEANT,full,5,0.722841540340072,0.004063050516962372,5.452237248361236,0.4461191885638982,Đầy đủ: 3 nhánh + stacking bền vững theo luồng (cấu hình chọn bằng CV)
GEANT,global_only,5,0.722841540340072,0.004063050516962372,5.452237248361236,0.4461191885638982,Chỉ trọng số chung toàn mạng
GEANT,no_lightgbm_res,5,0.7582785689870656,0.005209303946335925,5.4306232601119815,0.44812579872086644,Bỏ nhánh LightGBM-Residual
GEANT,no_stwaveformer,5,0.7266923395433541,0.0014705966712758444,5.732247976816517,0.4448495979886502,Bỏ nhánh học sâu (chỉ 2 nhánh học máy)
GEANT,no_xgboost,5,0.7223726835518653,0.0008640163599357306,5.4382624707952285,0.45583543833345175,Bỏ nhánh xgboost (champion)
GEANT,perflow_only,5,0.7410755516798756,0.0032180411045608006,5.453585297250554,0.4451437620446086,Luôn dùng trọng số theo luồng
GEANT,static_average,5,0.7225165098206724,0.002706677268596301,5.5088445615494654,0.44435078161768615,Trung bình tĩnh 1/K
SDN,best_single_val,5,4.738176530001774,0.03638128942045188,40.12912620820403,4.634472634643316,Chọn một nhánh tốt nhất theo MSE Validation
SDN,context_gate,5,4.701268618182302,0.03557532230680055,39.900891176564635,4.5980812050402164,Cổng MLP ngữ cảnh (v2) thay cho stacking
SDN,full,5,4.021976973990603,0.03699142402652723,38.142587262046376,3.9186617359519005,Đầy đủ: 3 nhánh + stacking bền vững theo luồng (cấu hình chọn bằng CV)
SDN,global_only,5,4.696577115174799,0.035686591154816476,39.87277015049689,4.593465570360422,Chỉ trọng số chung toàn mạng
SDN,no_lightgbm_res,5,4.855046349028758,0.03522748107226379,42.01459466677987,4.75364476442337,Bỏ nhánh LightGBM-Residual
SDN,no_stwaveformer,5,4.693979906296111,0.03563571119686345,39.85685364178052,4.590860195457935,Bỏ nhánh học sâu (chỉ 2 nhánh học máy)
SDN,no_xgboost,5,4.156832958401374,0.04255802421110962,38.78982504716802,4.053048975765705,Bỏ nhánh xgboost (champion)
SDN,perflow_only,5,4.021976973990603,0.03699142402652723,38.142587262046376,3.9186617359519005,Luôn dùng trọng số theo luồng
SDN,static_average,5,6.322681945602771,0.065276147932118,46.26426224880567,6.221825536340475,Trung bình tĩnh 1/K
