Dataset,Model,Seq_Len,MSE (x10^-3),MAE (x10^-3),RMSE,RSE,MAPE,Inference Time (ms)
SDN,ST-WaveFormer,60,14.93712840601795,64.34854865074155,0.12221571430563924,0.14302553981542582,0.295966625213623,4.277579973619906
SDN,XGBoost,60,5.51070167216728,43.509392111556394,0.0742338588732663,0.05276589719693412,0.22394528218809207,2.9070281199710735
SDN,LightGBM,60,5.542815149452559,39.13447226284574,0.07429293750028236,0.05307338915383508,0.20535537624499223,6.587522079998962
SDN,CatBoost,60,8.437384321190121,55.752358039974226,0.09185517291815433,0.08078937677783009,0.30902503432825046,1.2619199599976128
GEANT,ST-WaveFormer,24,0.7388243102468001,5.395455751568,0.0271813236176967,0.1326994448900222,0.93661230802536,4.150283176546937
GEANT,XGBoost,24,0.9142757036318799,5.85759029773592,0.030236955581652382,0.16421207154060177,1.5692366924125332,0.9858899599930737
GEANT,LightGBM,24,0.9192107352176799,6.00445197319232,0.030318445071085037,0.16509844723297323,1.6893740618254889,7.814843839951209
GEANT,CatBoost,24,0.9139639022458,5.90722792564736,0.03023183487502818,0.1641560692304505,1.6411046209476026,1.2548005600183387
ABILENE,ST-WaveFormer,24,1.96559396572406,16.924356296658456,0.04433474168181414,0.09803361594676968,0.2812031388282776,4.6709239026464875
ABILENE,XGBoost,24,2.7637576807796003,17.46105319703346,0.0525713383337731,0.13784185861838494,0.31169495057682556,2.5936422000813764
ABILENE,LightGBM,24,2.9261987223529,17.655881830226377,0.05409331228439673,0.14594357290473248,0.3129868389613404,6.9934406001266325
ABILENE,CatBoost,24,2.7092973674293597,17.4757212539016,0.052049843884086976,0.1351256614404111,0.31525222688952015,1.444313880201662
