Dataset,Model,Runs,MSE (x10^-3),MSE 95% CI,MAE (x10^-3),RMSE,MSE trong biên Train (x10^-3),Inference Time (ms/lô 64),Tốt nhất
SDN,ST-Adaptive-Ensemble v3 (đề xuất),5,4.022 ± 0.037,"[3.976, 4.068]",38.143 ± 0.211,0.0634,3.919,14.71,★
SDN,ST-WaveFormer (nhánh học sâu),5,15.009 ± 0.305,"[14.631, 15.388]",64.327 ± 1.350,0.1225,14.906,5.17,
SDN,"XGBoost (nhánh học máy 1, champion)",5,5.511 ± 0.031,"[5.472, 5.550]",43.509 ± 0.130,0.0742,5.409,2.91,
SDN,LightGBM-Residual (nhánh học máy 2),5,4.738 ± 0.036,"[4.693, 4.783]",40.129 ± 0.176,0.0688,4.634,6.60,
SDN,LightGBM (đối chứng),5,5.543 ± 0.796,"[4.554, 6.531]",39.134 ± 0.732,0.0743,,6.59,
SDN,CatBoost (đối chứng),5,8.437 ± 0.022,"[8.410, 8.465]",55.752 ± 0.066,0.0919,,1.26,
GEANT,ST-Adaptive-Ensemble v3 (đề xuất),5,0.723 ± 0.004,"[0.718, 0.728]",5.452 ± 0.024,0.0269,0.446,10.83,★
GEANT,ST-WaveFormer (nhánh học sâu),5,0.736 ± 0.005,"[0.729, 0.743]",5.402 ± 0.010,0.0271,0.469,3.75,
GEANT,"XGBoost (nhánh học máy 1, champion)",5,0.914 ± 0.003,"[0.910, 0.918]",5.858 ± 0.011,0.0302,0.455,0.99,
GEANT,LightGBM-Residual (nhánh học máy 2),5,0.752 ± 0.001,"[0.751, 0.753]",5.755 ± 0.006,0.0274,0.464,6.03,
GEANT,LightGBM (đối chứng),5,0.919 ± 0.003,"[0.915, 0.924]",6.004 ± 0.025,0.0303,,7.81,
GEANT,CatBoost (đối chứng),5,0.914 ± 0.001,"[0.913, 0.915]",5.907 ± 0.012,0.0302,,1.25,
ABILENE,ST-Adaptive-Ensemble v3 (đề xuất),5,1.846 ± 0.007,"[1.838, 1.855]",16.285 ± 0.008,0.0430,1.318,14.00,★
ABILENE,ST-WaveFormer (nhánh học sâu),5,1.966 ± 0.016,"[1.946, 1.985]",16.924 ± 0.021,0.0443,1.445,4.67,
ABILENE,"XGBoost (nhánh học máy 1, champion)",5,2.764 ± 0.013,"[2.748, 2.780]",17.461 ± 0.021,0.0526,1.122,2.59,
ABILENE,LightGBM-Residual (nhánh học máy 2),5,1.858 ± 0.006,"[1.851, 1.865]",16.283 ± 0.010,0.0431,1.336,6.72,
ABILENE,LightGBM (đối chứng),5,2.926 ± 0.040,"[2.876, 2.976]",17.656 ± 0.049,0.0541,,6.99,
ABILENE,CatBoost (đối chứng),5,2.709 ± 0.039,"[2.661, 2.758]",17.476 ± 0.063,0.0520,,1.44,
