Dataset,So sánh,Runs,ΔMSE TB (x10^-3),t (ghép cặp),p (t-test),DM stat TB,Số run DM<0 & p<0.05
SDN,Ensemble vs ST-WaveFormer (nhánh học sâu),5,-10.987239058931658,-85.8916419254025,1.1014258791566308e-07,-130.56242976052675,5/5
SDN,"Ensemble vs XGBoost (nhánh học máy 1, champion)",5,-1.4887246981767202,-171.6069487166656,6.916931322219701e-09,-62.15399422614647,5/5
SDN,Ensemble vs LightGBM-Residual (nhánh học máy 2),5,-0.71619955331308,-74.86750974466149,1.9074858852088293e-07,-72.88717346681429,5/5
SDN,Ensemble vs LightGBM (đối chứng),5,-1.520838175462,-4.2822919969745055,0.012824305385532983,,
SDN,Ensemble vs CatBoost (đối chứng),5,-4.415407347199561,-368.42732458438826,3.2562863691824173e-10,,
GEANT,Ensemble vs ST-WaveFormer (nhánh học sâu),5,-0.013260385964320017,-11.442978564370877,0.0003328134840953929,-1.519744462916579,1/5
GEANT,"Ensemble vs XGBoost (nhánh học máy 1, champion)",5,-0.19143416329186,-80.62852309367295,1.4182447945032417e-07,-1.3553402478906467,0/5
GEANT,Ensemble vs LightGBM-Residual (nhánh học máy 2),5,-0.028760006975140025,-14.016516235735734,0.0001503126983597008,-1.4026254260666813,0/5
GEANT,Ensemble vs LightGBM (đối chứng),5,-0.19636919487766,-79.97172690243985,1.465388500204142e-07,,
GEANT,Ensemble vs CatBoost (đối chứng),5,-0.19112236190578,-102.45254997071467,5.442323813061019e-08,,
ABILENE,Ensemble vs ST-WaveFormer (nhánh học sâu),5,-0.11933339661324005,-17.838194593865,5.803674838326021e-05,-7.4199376264665515,5/5
ABILENE,"Ensemble vs XGBoost (nhánh học máy 1, champion)",5,-0.9174971116687801,-151.6399007891579,1.1344134910171341e-08,-3.3202549823655785,5/5
ABILENE,Ensemble vs LightGBM-Residual (nhánh học máy 2),5,-0.011644808175760015,-4.313765838419512,0.012508786917193272,-5.250184722229029,5/5
ABILENE,Ensemble vs LightGBM (đối chứng),5,-1.07993815324208,-58.26223774440352,5.196969247050447e-07,,
ABILENE,Ensemble vs CatBoost (đối chứng),5,-0.86303679831854,-43.595733110527945,1.6552114229621828e-06,,
